Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
4/155 Mt Alexander Road ,FLEMINGTON VIC 3031,FLEMINGTON,VIC,3031,Townhouse,19-Feb-22,auction,890000,4,2,2,0,Nelson Alexander Flemington,-37.7847189,144.9379965,3.956938439
1303/649 Chapel Street ,SOUTH YARRA VIC 3141,SOUTH YARRA,VIC,3141,New apartments / off the plan,10-Aug-21,private treaty,1450000,3,3,2,0,UNKNOWN,-37.8377695,144.9918537,3.635603603
5/39 Cook Street ,FLINDERS VIC 3929,FLINDERS,VIC,3929,Apartment ,2-Mar-22,private treaty,939000,2,1,1,0,Kay & Burton Flinders,-38.4725333,145.004909,73.31536009
1/13 Derby Crescent ,CAULFIELD EAST VIC 3145,CAULFIELD EAST,VIC,3145,Apartment ,23-Nov-21,private treaty,880000,2,1,2,0, Gary Peer,-37.8835452,145.0457218,10.58520898
3/103a Grosvenor Street ,BALACLAVA VIC 3183,BALACLAVA,VIC,3183,Apartment ,24-Nov-21,auction,879000,2,1,1,0,McGrath St Kilda,-37.8724127,144.993027,6.984423727
22 Norfolk Place ,MALVERN VIC 3144,MALVERN,VIC,3144,Townhouse,15-Apr-22,private treaty,905000,2,2,1,0, Jellis Craig Stonnington,-37.8495907,145.0321376,7.224972396
2/55 Durham Street ,EAGLEMONT VIC 3084,EAGLEMONT,VIC,3084,Apartment ,14-May-22,auction,921000,3,1,1,0,Miles Real Estate Ivanhoe,-37.7622133,145.066983,10.80501358
3/29 Westgate Street ,PASCOE VALE SOUTH VIC 3044,PASCOE,VIC,3044,Townhouse,4-May-22,auction,900000,3,2,2,0,Ray White Bundoora,-37.7371668,144.9386224,8.83770672
4/110 Albert Street ,EAST MELBOURNE VIC 3002,EAST MELBOURNE,VIC,3002,Townhouse,25-Oct-18,auction,1410000,2,2,1,0,Caine Real Estate,-37.8099078,144.9795768,1.520113681
1/430 Glenferrie Road ,KOOYONG VIC 3144,KOOYONG,VIC,3144,Townhouse,4-Mar-19,private treaty,1425000,3,3,2,0,RT Edgar Boroondara,-37.8436763,145.0315599,6.844461995
11A Ferguson Street ,SPOTSWOOD VIC 3015,SPOTSWOOD,VIC,3015,Townhouse,26-Jun-21,auction,1412000,4,3,3,0,Williams Real Estate,-37.826237,144.8726224,8.06668923
33 Lloyds Avenue ,CAULFIELD EAST VIC 3145,CAULFIELD EAST,VIC,3145,Townhouse,16-Dec-21,private treaty,1070000,3,1,2,0,Belle Property Caulfield,-37.8861021,145.0444347,10.71845587
2/2 Eildon Road ,ASHWOOD VIC 3147,ASHWOOD,VIC,3147,Apartment ,5-Feb-22,auction,1095000,3,2,2,0,Jellis Craig Monash,-37.8622516,145.110484,14.00086721
1/23 Magnolia Road ,GARDENVALE VIC 3185,GARDENVALE,VIC,3185,Apartment ,1-May-21,auction,1455000,3,2,2,0,Marshall White,-37.8981487,145.0101374,10.20659481
1-4/20 Donald Avenue ,ESSENDON VIC 3040,ESSENDON,VIC,3040,Block of units,16-Jul-20,auction,1450000,2,1,1,0,Barry Plant Essendon,-37.7535112,144.9332026,7.247763011
302/110 Brougham Street ,GEELONG VIC 3220,GEELONG,VIC,3220,Apartment ,6-Feb-21,auction,1460000,3,2,2,0,McGrath Geelong | Newtown,-38.1434115,144.3551851,64.66914201
50A Reed Street ,SPOTSWOOD VIC 3015,SPOTSWOOD,VIC,3015,Townhouse,20-Mar-18,private treaty,1420000,4,3,3,0,McGrath Yarraville,-37.8300816,144.8815747,7.382339713
Penthouse5/431 St Kilda Road ,MELBOURNE 3004 VIC 3004,MELBOURNE 3004,VIC,3004,Apartment ,12-May-18,auction,1417000,3,2,2,0,Biggin & Scott Stonnington,-37.8142176,144.9631608,0.0
5/110 Keppel Street ,CARLTON VIC 3053,CARLTON,VIC,3053,Townhouse,2-Mar-18,private treaty,1420000,3,2,2,0,LITTLE Real Estate Victoria,-37.7968565,144.9676181,1.970401635
1/65 Carlingford Street ,CAULFIELD SOUTH VIC 3162,CAULFIELD SOUTH,VIC,3162,Villa,12-Dec-21,auction,1051000,2,1,2,0, Gary Peer,-37.8897935,145.0142347,9.528218452
7/113-115 Banksia Street ,EAGLEMONT VIC 3084,EAGLEMONT,VIC,3084,Townhouse,6-Nov-21,auction,1390000,3,2,2,0,Miles Real Estate Ivanhoe,-37.7651442,145.0633313,10.35973491
1/153 Albert Street ,WINDSOR VIC 3181,WINDSOR,VIC,3181,Apartment ,29-Sep-21,auction,1372000,3,2,0,0,Wilson Port Phillip,-37.8560785,144.9888286,5.173424101
2/18 Bowen Crescent ,CARLTON NORTH VIC 3054,CARLTON NORTH,VIC,3054,Apartment ,9-Mar-22,auction,1110500,2,1,0,0,Nelson Alexander | Carlton,-37.7819936,144.9633382,3.584304059
1 Raleigh Grove ,ESSENDON NORTH VIC 3041,ESSENDON NORTH,VIC,3041,Townhouse,28-Jun-21,private treaty,1375000,4,3,1,0,Rendina Real Estate,-37.7381967,144.9023471,10.0043072
2/21 Leigh Street ,HUNTINGDALE VIC 3166,HUNTINGDALE,VIC,3166,Townhouse,25-May-22,private treaty,1385000,4,3,2,0,Buxton Oakleigh,-37.905353,145.1077901,16.25034122
1/10 Panorama Avenue ,LOWER PLENTY VIC 3093,LOWER PLENTY,VIC,3093,Townhouse,24-Dec-21,auction,1140000,3,2,2,0,Jellis Craig Doncaster,-37.7284306,145.1237075,17.03833852
201/19 Rex Avenue ,ALPHINGTON VIC 3078,ALPHINGTON,VIC,3078,Apartment ,3-Feb-22,private treaty,1388000,2,2,2,0,Nelson Alexander Northcote,-37.7852097,145.025105,6.328518642
1/192 Murrumbeena Road ,MURRUMBEENA VIC 3163,MURRUMBEENA,VIC,3163,Villa,13-Jul-22,auction,1135000,3,2,2,0,Jack Slater,-37.8898193,145.0664958,12.37256442
1-4/13 Oakes Avenue ,CLAYTON SOUTH VIC 3169,CLAYTON SOUTH,VIC,3169,Block of units,28-Jun-19,auction,1400000,8,4,4,0,Darras & Zervas Estate Agents,-37.9353076,145.1298456,19.88941449
19 Ruby Street ,ESSENDON WEST VIC 3040,ESSENDON WEST,VIC,3040,Townhouse,19-Oct-19,auction,1366000,4,3,2,0,Barry Plant Essendon,-37.7526192,144.8862047,9.62863867
25/412 High Street ,NORTHCOTE VIC 3070,NORTHCOTE,VIC,3070,Apartment ,10-Dec-21,auction,1055000,3,2,2,0,Jellis Craig Northcote,-37.7775269,144.9974066,5.071037813
2/35 Jetty Lane ,MARIBYRNONG VIC 3032,MARIBYRNONG,VIC,3032,Apartment ,27-Mar-22,auction,1411000,3,2,2,0,Eview Group - Australia,-37.7862277,144.8990626,6.436536549
144 Dover Street ,CREMORNE VIC 3121,CREMORNE,VIC,3121,Townhouse,10-May-22,private treaty,1450000,3,2,2,0,Kay & Burton South Yarra,-37.8277075,144.9918073,2.930305006
702/68 Cape Street ,HEIDELBERG VIC 3084,HEIDELBERG,VIC,3084,Apartment ,19-Feb-21,private treaty,1386000,3,2,2,0,Nelson Alexander Ivanhoe,-37.7542688,145.0674924,11.33933559
807/25 Windsor Terrace ,WILLIAMSTOWN VIC 3016,WILLIAMSTOWN,VIC,3016,Apartment ,6-Apr-20,private treaty,1400000,2,2,2,0,Williams Real Estate,-37.865707,144.9089606,7.447655278
7 Roach Avenue ,ABERFELDIE VIC 3040,ABERFELDIE,VIC,3040,Townhouse,11-Mar-20,private treaty,1370000,4,3,2,0,Rendina Real Estate,-37.7574847,144.8971121,8.575038298
5 Marshall Street ,FLEMINGTON VIC 3031,FLEMINGTON,VIC,3031,Townhouse,11-Mar-22,private treaty,955000,2,1,1,0,Nelson Alexander Flemington,-37.786349,144.9255213,4.533460366
58 Saltley Street ,SOUTH KINGSVILLE VIC 3015,SOUTH KINGSVILLE,VIC,3015,House,7-Mar-22,private treaty,960000,3,2,2,0,Village Real Estate Seddon,-37.8322462,144.8673509,8.653525016
13 Flynn Terrace ,SANDHURST VIC 3977,SANDHURST,VIC,3977,House,24-Mar-22,auction,982500,3,2,2,0,Ray White Patterson Lakes,-38.0803268,145.2052031,36.4258382
1-4/2 Moule Street ,BRUNSWICK WEST VIC 3055,BRUNSWICK WEST,VIC,3055,Block of units,28-Nov-18,auction,1573000,5,4,4,0,UNKNOWN,-37.770428,144.9415802,5.227045778
1/5 Argyle Street ,MOONEE PONDS VIC 3039,MOONEE PONDS,VIC,3039,Villa,19-Mar-22,auction,1000000,3,1,2,0,Brad Teal Woodards Essendon,-37.7679089,144.9071296,7.126610673
2/29 Lewisham Road ,WINDSOR VIC 3181,WINDSOR,VIC,3181,Townhouse,6-Sep-19,private treaty,1580000,3,2,3,0,Follett & Co.,-37.8557933,144.9991875,5.603734565
32 Railway Place ,WEST MELBOURNE VIC 3003,WEST MELBOURNE,VIC,3003,Townhouse,11-Mar-22,private treaty,1560000,3,2,1,0,Jellis Craig Kensington,-37.8104058,144.9451445,1.638957729
4 Pebble Beach Place ,HEATHERTON VIC 3202,HEATHERTON,VIC,3202,Townhouse,11-Feb-22,private treaty,990000,3,2,1,0,Jellis Craig Carnegie,-37.9582784,145.0770815,18.88853996
11/249 Westgarth Street ,NORTHCOTE VIC 3070,NORTHCOTE,VIC,3070,Villa,2-Apr-22,auction,960000,3,1,1,0,Nelson Alexander Northcote,-37.7820439,145.004897,5.124732583
1/4 Valkstone Street ,BENTLEIGH EAST VIC 3165,BENTLEIGH EAST,VIC,3165,Villa,19-Feb-22,auction,960000,2,1,2,0,Jellis Craig Bentleigh,-37.9143833,145.0570807,13.86179277
10/18 Dudley Street ,WEST MELBOURNE VIC 3003,WEST MELBOURNE,VIC,3003,Apartment ,28-Jan-21,auction,1605000,3,2,2,0,Ray White Southbank & Port Phillip,-37.8100669,144.9500116,1.244298323
3/25 Holloway Street ,ORMOND VIC 3204,ORMOND,VIC,3204,Apartment ,9-Jun-22,private treaty,950000,3,2,3,0,Buxton Real Estate Bentleigh,-37.9017598,145.0461357,12.16195081
159a Hotham Street ,COLLINGWOOD VIC 3066,COLLINGWOOD,VIC,3066,Townhouse,7-Jun-22,private treaty,990000,3,2,1,0,Biggin & Scott Richmond,-37.7965938,144.9887622,2.984099444
76 Marion Street ,ALTONA NORTH VIC 3025,ALTONA NORTH,VIC,3025,Block of units,18-Nov-17,auction,1600000,8,4,6,0,Compton Green,-37.8351159,144.850594,10.15955647
1-6/68 Pentland Parade ,YARRAVILLE VIC 3013,YARRAVILLE,VIC,3013,Apartment ,18-Oct-13,auction,1600000,6,6,6,0,Jas Stephens Real Estate Yarraville,-37.81574515,144.8899677,6.433793324
1 & 2/54 Lang Street ,PRINCES HILL VIC 3054,PRINCES HILL,VIC,3054,Apartment ,16-Nov-13,auction,1557000,4,2,1,0,Nelson Alexander | Carlton,-37.7818041,144.9665675,3.617759983
21A Patterson Avenue ,KEILOR VIC 3036,KEILOR,VIC,3036,Townhouse,30-Apr-22,auction,950000,3,2,1,0,Nelson Alexander Keilor East,-37.7174036,144.8241756,16.28843206
2/21 Fulham Road ,ALPHINGTON VIC 3078,ALPHINGTON,VIC,3078,Apartment ,18-Mar-22,auction,1640000,3,2,2,0,Miles Real Estate Ivanhoe,-37.7815866,145.0257737,6.592267996
4/292 The Avenue ,PARKVILLE VIC 3052,PARKVILLE,VIC,3052,Apartment ,30-Apr-22,auction,955000,2,1,1,0,Nelson Alexander Docklands,-37.7899317,144.957388,2.748547926
28A Elstone Avenue ,AIRPORT WEST VIC 3042,AIRPORT WEST,VIC,3042,Apartment ,21-Apr-22,private treaty,997500,3,2,4,0,McDonald Upton,-37.7319073,144.8884643,11.26725744
13 Regent St ,KEILOR EAST VIC 3033,KEILOR EAST,VIC,3033,New house and land,28-Jan-22,auction,1025000,3,3,1,0,Moonee Valley Real Estate,-37.7431406,144.8606497,11.98842396
3/382 Glenferrie Road ,MALVERN VIC 3144,MALVERN,VIC,3144,Apartment ,8-Sep-17,auction,1500000,2,2,2,0,Kay & Burton South Yarra,-37.8595799,145.0288058,7.662369445
1/66 Patterson Street ,MIDDLE PARK VIC 3206,MIDDLE PARK,VIC,3206,Apartment ,26-Feb-22,auction,1020000,3,1,1,0,Marshall White,-37.8546355,144.9654655,4.500232928
3/110 Beaconsfield Parade ,ALBERT PARK VIC 3206,ALBERT PARK,VIC,3206,Apartment ,18-Jun-22,auction,1505000,2,2,1,0,Charlotte Broussard,-37.8508119,144.954689,4.13785959
54 Rosamond Street ,BALACLAVA VIC 3183,BALACLAVA,VIC,3183,Townhouse,26-May-22,auction,1500000,3,2,1,0,  Gary Peer,-37.8699649,144.9919101,6.69526738
1/41 Cowper Street ,FOOTSCRAY VIC 3011,FOOTSCRAY,VIC,3011,Townhouse,13-Dec-21,private treaty,1000000,3,1,2,0,Nguyen Real Estate,-37.8017475,144.9041408,5.36890133
104/45 Orrong Road ,ELSTERNWICK VIC 3185,ELSTERNWICK,VIC,3185,Apartment ,5-Dec-21,private treaty,1030000,3,2,2,0,Biggin & Scott Elsternwick,-37.8798169,145.0068225,8.243000104
1/6 Jolley Street ,BRUNSWICK WEST VIC 3055,BRUNSWICK WEST,VIC,3055,Townhouse,23-Dec-21,private treaty,1020000,3,2,2,0,Nelson Alexander Brunswick,-37.7580103,144.9462463,6.426305873
1-7/5 Edmill Court ,BELMONT VIC 3216,BELMONT,VIC,3216,Block of units,22-Feb-19,private treaty,1450100,9,7,7,0,Stockdale & Leggo South Barwon,-38.1832851,144.3363871,68.58087214
G03/451-453 St Kilda Street ,ELWOOD VIC 3184,ELWOOD,VIC,3184,New apartments / off the plan,11-Oct-18,private treaty,1450000,2,2,2,0,UNKNOWN,-37.8788568,144.9855487,7.453863473
2/287 Bank Street ,SOUTH MELBOURNE VIC 3205,SOUTH MELBOURNE,VIC,3205,Apartment ,18-Dec-21,auction,1008000,2,1,1,0,WHITEFOX Apartments,-37.8346756,144.9599595,2.292856763
33B Emma Street ,SEDDON VIC 3011,SEDDON,VIC,3011,Townhouse,13-May-22,auction,1000000,2,2,1,0,Buxton Inner West,-37.8042688,144.888771,6.630212629
199 Hawke Street ,WEST MELBOURNE VIC 3003,WEST MELBOURNE,VIC,3003,Townhouse,7-Sep-17,auction,1500000,3,2,1,0,Joseph Louis Realty,-37.80955905,144.9447042,1.702631513
5/60A Heyington Place ,TOORAK VIC 3142,TOORAK,VIC,3142,New apartments / off the plan,11-Dec-18,private treaty,1500000,2,2,2,0,RT Edgar Toorak,-37.8380413,145.0219552,5.805585132
25 Danks Street ,ALBERT PARK VIC 3206,ALBERT PARK,VIC,3206,Townhouse,6-Apr-15,private treaty,1550000,3,3,2,0,Buxton Port Phillip,-37.8486879,144.954467,3.909456841
302/2 Black Street ,BRUNSWICK VIC 3056,BRUNSWICK,VIC,3056,Apartment ,25-May-22,private treaty,1050000,2,2,1,0,Jellis Craig - Brunswick,-37.7760364,144.9599249,4.25640173
3 Barring Mews ,DOCKLANDS VIC 3008,DOCKLANDS,VIC,3008,Townhouse,12-Nov-16,private treaty,1540000,3,2,2,0,Lucas Real Estate,-37.8227174,144.9387394,2.344873402
11 Nicholson Place ,MELBOURNE VIC 3000,MELBOURNE,VIC,3000,Townhouse,19-Dec-20,auction,1540000,4,2,2,0,Nelson Alexander Docklands,-37.8133369,144.953514,0.853329051
106/185 Rose Street ,FITZROY VIC 3065,FITZROY,VIC,3065,Apartment ,24-Mar-22,private treaty,1020000,2,2,1,0,Belle Property Carlton,-37.7960579,144.9800784,2.508080081
1/268 Rathmines Street ,FAIRFIELD VIC 3078,FAIRFIELD,VIC,3078,Villa,7-Mar-22,auction,1030000,3,1,1,0,    Love & Co,-37.7787813,145.0158441,6.080909229
1/29 Burgess Street ,BENTLEIGH VIC 3204,BENTLEIGH,VIC,3204,Villa,22-Apr-22,auction,1010000,2,1,2,0,Jellis Craig Bentleigh,-37.9181894,145.0366018,13.24127934
1-4/207 Union Street ,BRUNSWICK WEST VIC 3055,BRUNSWICK WEST,VIC,3055,Apartment ,18-Jul-19,auction,1510000,5,4,4,0,Nelson Alexander Brunswick,-37.7633334,144.9425563,5.942573006
8/53 New Street ,BRIGHTON VIC 3186,BRIGHTON,VIC,3186,New apartments / off the plan,20-May-19,private treaty,1516000,3,3,2,0,Capital Property Marketing & Management,-37.9090357,144.9922766,10.85210159
9/86 Queens Parade ,FITZROY NORTH VIC 3068,FITZROY NORTH,VIC,3068,Apartment ,28-Mar-22,auction,1000000,3,2,1,0,Belle Property Carlton,-37.7869362,144.9936102,4.045979775
1-6/79-81 Victoria Street ,FLEMINGTON VIC 3031,FLEMINGTON,VIC,3031,Apartment ,20-Apr-20,private treaty,1515000,6,6,5,0,Nelson Alexander Flemington,-37.7867587,144.9193668,4.913558786
14/54 The Avenue ,PARKVILLE VIC 3052,PARKVILLE,VIC,3052,Townhouse,29-Mar-22,auction,1005000,3,1,1,0,Nelson Alexander | Carlton,-37.7899317,144.957388,2.748547926
20 Cade Square ,PARKVILLE VIC 3052,PARKVILLE,VIC,3052,Townhouse,22-Sep-21,private treaty,1250000,4,2,2,0,Nelson Alexander | Carlton,-37.7780679,144.9397263,4.517782461
2/13 Briggs Street ,CAULFIELD VIC 3162,CAULFIELD,VIC,3162,Apartment ,7-Dec-21,private treaty,1340000,2,2,2,0,Follett & Co.,-37.8853161,145.0259717,9.642316096
8/95 Ferguson Street ,WILLIAMSTOWN VIC 3016,WILLIAMSTOWN,VIC,3016,New apartments / off the plan,4-Oct-21,private treaty,1250000,2,2,1,0,Compton Green,-37.8579119,144.8891539,8.117036231
32 Harbourside Drive ,RIPPLESIDE VIC 3215,RIPPLESIDE,VIC,3215,Townhouse,23-Nov-21,private treaty,1320000,3,2,2,0,McGrath Geelong | Newtown,-38.1260581,144.3574896,63.43216289
4A Tarook Way ,MORNINGTON VIC 3931,MORNINGTON,VIC,3931,Townhouse,5-Feb-22,auction,1302000,3,2,2,0,UNKNOWN,-38.2288092,145.0376836,46.574991
28/33-37 Fisher Parade ,ASCOT VALE VIC 3032,ASCOT VALE,VIC,3032,Apartment ,14-Dec-21,auction,1340000,3,2,2,0,Woodards Ascot Vale,-37.775316,144.9218467,5.648845763
13 Rolls Street ,COBURG VIC 3058,COBURG,VIC,3058,Townhouse,19-Nov-21,auction,1275000,3,3,2,0,Barry Plant Coburg,-37.7496097,144.9684318,7.201249696
5 Woody Lane ,ALPHINGTON VIC 3078,ALPHINGTON,VIC,3078,Townhouse,9-Feb-22,private treaty,1280000,3,3,2,0,The Agency Boroondara,-37.7842306,145.0269359,6.522516455
12A Moodie Place ,ST KILDA VIC 3182,ST KILDA,VIC,3182,Townhouse,18-Jan-22,private treaty,1250000,3,2,1,0,Gotham Property,-37.8581559,144.9870571,5.319003694
1/25 Foster Avenue ,GLEN HUNTLY VIC 3163,GLEN HUNTLY,VIC,3163,Apartment ,18-Jun-22,auction,1230000,3,2,2,0,   Gary Peer,-37.894477,145.0365902,11.01288014
801/100 Western Beach Road ,GEELONG VIC 3220,GEELONG,VIC,3220,Apartment ,16-Jun-22,private treaty,1215000,3,2,1,0,Barry Plant - Geelong,-38.1442691,144.355077,64.73074906
1/26 Alfred Street ,BEAUMARIS VIC 3193,BEAUMARIS,VIC,3193,Apartment ,19-Jul-21,private treaty,1320000,3,2,5,0,UNKNOWN,-37.9766648,145.05149,19.66210576
3/216 Glenlyon Road ,BRUNSWICK EAST VIC 3057,BRUNSWICK EAST,VIC,3057,Apartment ,10-Oct-21,auction,1250000,3,2,1,0,Nelson Alexander Brunswick,-37.7729691,144.9743876,4.69298357
32/5-7 Hilltop Crescent ,IVANHOE EAST VIC 3079,IVANHOE EAST,VIC,3079,Apartment ,20-Oct-21,private treaty,1270000,3,2,2,0,Miles Real Estate Ivanhoe,-37.7733903,145.0617815,9.785881187
54/84 Trenerry Crescent ,ABBOTSFORD VIC 3067,ABBOTSFORD,VIC,3067,Townhouse,21-Oct-21,auction,1270000,3,2,2,0,Kay & Burton Hawthorn,-37.8000381,145.0000366,3.604076546
3 Wilson Street ,SOUTH MELBOURNE VIC 3205,SOUTH MELBOURNE,VIC,3205,Townhouse,17-Jul-21,private treaty,1330000,2,2,1,0,Jellis Craig Port Phillip,-37.8346505,144.9635012,2.272944829
201/459 Main Street ,MORDIALLOC VIC 3195,MORDIALLOC,VIC,3195,Apartment ,1-Apr-21,auction,1250000,3,2,2,0,Ray White Mordialloc,-38.01312,145.0980887,25.09303264
2/20 High Street ,PORTARLINGTON VIC 3223,PORTARLINGTON,VIC,3223,Townhouse,3-Apr-21,auction,1280000,3,3,4,0,Neville Richards Real Estate,-38.1200908,144.648183,43.82219475
7/77 Field Street ,CLIFTON HILL VIC 3068,CLIFTON HILL,VIC,3068,Apartment ,30-Mar-21,auction,1275000,3,2,1,0,Jellis Craig Fitzroy,-37.7918688,145.0025438,4.261367111
4/19 Walker Street ,CLIFTON HILL VIC 3068,CLIFTON HILL,VIC,3068,Townhouse,6-Nov-20,auction,1252000,2,1,1,0,Jellis Craig Fitzroy,-37.7884806,145.0029742,4.520928853
102/809 Rathdowne Street ,CARLTON NORTH VIC 3054,CARLTON NORTH,VIC,3054,Apartment ,23-Apr-21,private treaty,1250000,2,2,1,0,Woodards,-37.7845585,144.9728553,3.407231784
9/44a Hunter Street ,BRUNSWICK WEST VIC 3055,BRUNSWICK WEST,VIC,3055,Townhouse,21-Nov-20,auction,1275000,3,2,1,0,Jellis Craig Moonee Valley,-37.7657353,144.9445226,5.636048406
1/180 Queens Parade ,FITZROY NORTH VIC 3068,FITZROY NORTH,VIC,3068,Townhouse,13-Apr-21,private treaty,1290000,2,2,1,0,Woodards,-37.7869362,144.9936102,4.045979775
112/1 Queensberry Street ,CARLTON VIC 3053,CARLTON,VIC,3053,Apartment ,28-Dec-20,auction,1255000,2,2,1,0,Caine Real Estate,-37.8047367,144.9652334,1.070171798
7/169 Lower Heidelberg Road ,IVANHOE EAST VIC 3079,IVANHOE EAST,VIC,3079,Townhouse,27-Feb-21,private treaty,1287500,4,2,2,0,Nelson Alexander Ivanhoe,-37.7717057,145.0496757,8.954703272
301/26 Paper Trail ,ALPHINGTON VIC 3078,ALPHINGTON,VIC,3078,Semi-detached,14-Feb-22,private treaty,1165000,3,2,2,0,The Agency Boroondara,-37.783648,145.0261491,6.496885448
27B Garnett Street ,HUNTINGDALE VIC 3166,HUNTINGDALE,VIC,3166,Townhouse,25-Nov-20,auction,1275000,4,3,2,0,Buxton Oakleigh,-37.9040841,145.1088379,16.23516899
602/220 Commercial Road ,PRAHRAN VIC 3181,PRAHRAN,VIC,3181,Apartment ,26-Feb-22,auction,1150000,2,2,1,0,Belle Property Armadale,-37.84981875,144.9898036,4.599917563
14A Lloyds Avenue ,CAULFIELD EAST VIC 3145,CAULFIELD EAST,VIC,3145,Townhouse,28-Mar-22,auction,1300000,4,2,2,0,UNKNOWN,-37.8861021,145.0444347,10.71845587
3/1895 Point Nepean Road ,TOOTGAROOK VIC 3941,TOOTGAROOK,VIC,3941,Townhouse,9-Apr-22,auction,1340000,4,3,2,0,UNKNOWN,-38.3777277,144.8502239,63.45395454
148 Newman Street ,KENSINGTON VIC 3031,KENSINGTON,VIC,3031,Townhouse,6-Apr-22,private treaty,1325000,3,2,2,0,Rendina Real Estate,-37.7948418,144.9227083,4.157344002
6/60 Bluff Road ,BLACK ROCK VIC 3193,BLACK ROCK,VIC,3193,Apartment ,9-Mar-22,private treaty,1300000,2,2,2,0,Belle Property Sandringham,-37.9755321,145.0161715,18.53649386
2D Quat Quatta Avenue ,RIPPONLEA VIC 3185,RIPPONLEA,VIC,3185,Townhouse,17-Jul-21,private treaty,1275000,2,1,1,0,Buxton Port Phillip,-37.8780119,144.9966336,7.68079864
3/211 Nicholson Street ,BRUNSWICK EAST VIC 3057,BRUNSWICK EAST,VIC,3057,Townhouse,26-Mar-22,auction,1170000,2,1,1,0,Nelson Alexander Brunswick,-37.7722313,144.9794151,4.883778837
1-5/38-40 Chapel Street ,WHITTINGTON VIC 3219,WHITTINGTON,VIC,3219,Apartment ,18-Jun-21,auction,1275000,9,5,5,0,Buxton Geelong East Pty Ltd,-38.1771092,144.3920658,64.30564193
18a Lockhart Street ,CAULFIELD VIC 3162,CAULFIELD,VIC,3162,Apartment ,25-May-22,auction,1340500,2,2,2,0,Nelson Alexander Kew,-37.8842042,145.0207319,9.28267043
17A Bond Street ,NEWTOWN VIC 3220,NEWTOWN,VIC,3220,Townhouse,29-May-22,auction,1327000,3,2,2,0,UNKNOWN,-38.15657985,144.3492541,65.92945399
1/3 Walworth Avenue ,CAULFIELD NORTH VIC 3161,CAULFIELD NORTH,VIC,3161,Apartment ,22-Apr-22,private treaty,1325000,3,1,2,0,Belle Property St Kilda,-37.8782644,145.0236221,8.885495223
2/2 Enright Street ,HIGHETT VIC 3190,HIGHETT,VIC,3190,Apartment ,26-Mar-22,auction,1160000,3,2,1,0,UNKNOWN,-37.9562177,145.0513984,17.59185933
40/156 Beaconsfield Parade ,ALBERT PARK VIC 3206,ALBERT PARK,VIC,3206,Apartment ,5-Jul-21,private treaty,1250000,3,2,2,0,Buxton Port Phillip,-37.8508119,144.954689,4.13785959
3A Mont Albert Road ,GEELONG VIC 3220,GEELONG,VIC,3220,Townhouse,14-Apr-22,private treaty,1330000,3,2,1,0,McGrath Geelong | Newtown,-38.1350667,144.3530252,64.30813768
1/203 Mckinnon Road ,MCKINNON VIC 3204,MCKINNON,VIC,3204,Apartment ,7-Jul-21,private treaty,1250000,3,2,2,0,UNKNOWN,-37.9116749,145.0429691,12.90832805
2/133 Huntingdale Road ,OAKLEIGH VIC 3166,OAKLEIGH,VIC,3166,Townhouse,7-Jan-22,private treaty,1182000,4,3,2,0,James Perry Property Group,-37.9071634,145.1042516,16.13679098
707/228 The Avenue ,PARKVILLE VIC 3052,PARKVILLE,VIC,3052,Apartment ,25-Mar-22,private treaty,1200000,2,2,1,0,Rendina Real Estate,-37.7871148,144.9515533,3.18257452
247A Hotham Street ,RIPPONLEA VIC 3185,RIPPONLEA,VIC,3185,Townhouse,3-Apr-22,auction,1250000,3,2,1,0,Buxton St Kilda,-37.8828762,144.9968067,8.188707852
6/13 Blenheim Street ,BALACLAVA VIC 3183,BALACLAVA,VIC,3183,Townhouse,2-Mar-21,private treaty,1350000,3,2,2,0,The Agency - Port Phillip / Bayside,-37.8671852,144.9946954,6.510271911
1/8 Pilkington Street ,FITZROY NORTH VIC 3068,FITZROY NORTH,VIC,3068,Townhouse,31-Mar-21,auction,1311000,2,1,1,0,Nelson Alexander Fitzroy,-37.7793968,144.986018,4.363140024
1/1009 Rathdowne Street ,CARLTON NORTH VIC 3054,CARLTON NORTH,VIC,3054,Townhouse,2-Apr-22,auction,1270000,2,1,1,0,Nelson Alexander | Carlton,-37.7821806,144.9730206,3.667327772
3/43-47 Simpson Street ,NORTHCOTE VIC 3070,NORTHCOTE,VIC,3070,Apartment ,20-Jan-21,private treaty,1318274,3,2,2,0,UNKNOWN,-37.7728157,145.0009469,5.67785183
21 Waratah Avenue ,GLEN HUNTLY VIC 3163,GLEN HUNTLY,VIC,3163,Townhouse,14-Jul-22,private treaty,1250000,3,2,2,0,Spiro Vasiliadis,-37.8917774,145.0428508,11.10892047
1/7 St Georges Road ,ARMADALE VIC 3143,ARMADALE,VIC,3143,Apartment ,22-Feb-21,private treaty,1350000,2,2,1,0,RT Edgar Toorak,-37.860648,145.0222273,7.32076558
1/24 Lawrance Street ,MURRUMBEENA VIC 3163,MURRUMBEENA,VIC,3163,Apartment ,5-Jun-21,auction,1331500,3,2,2,0,Woodards Carnegie,-37.88948,145.0748306,12.89458612
