Street,Address,Suburb,State,Postcode,Type,Date,Method,Price,Bedrooms,Bathrooms,Cars,Area,Agent,Latitude,Longitude,Distance
28 Lowe Drive ,DOREEN VIC 3754,DOREEN,VIC,3754,Townhouse,11-Jun-22,auction,588000,3,2,2,0,Harcourts Rata & Co,-37.6021402,145.1158324,27.14681534
109/9 Waterfront Place Martha Cove ,SAFETY BEACH VIC 3936,SAFETY BEACH,VIC,3936,New apartments / off the plan,8-Apr-20,private treaty,1230000,3,3,2,0,McEwing Partners,-38.3153642,145.000282,55.83716144
4 Nick Way ,KALKALLO VIC 3064,KALKALLO,VIC,3064,Townhouse,5-May-22,auction,523250,3,2,2,0,Ray White Craigieburn,-37.5309523,144.9496539,31.52998427
15 Clarence Walk ,MICKLEHAM VIC 3064,MICKLEHAM,VIC,3064,Townhouse,24-May-22,private treaty,515000,3,2,2,0,Ray White Epping,-37.5298606,144.8998697,32.11606667
2/10 Steel Street ,SPOTSWOOD VIC 3015,SPOTSWOOD,VIC,3015,Apartment ,28-May-22,auction,502500,2,1,1,0,Williams Real Estate,-37.8261316,144.871645,8.149484062
2/427 Bell Street ,PASCOE VALE SOUTH VIC 3044,PASCOE,VIC,3044,Villa,28-May-22,private treaty,510000,2,1,1,0,Brad Teal Woodards Essendon,-37.7381477,144.9370958,8.766063399
39/55B Oakwood Road ,ALBANVALE VIC 3021,ALBANVALE,VIC,3021,Townhouse,18-May-22,private treaty,507500,3,2,2,0,Ray White St Albans,-37.7460824,144.7685623,18.71114238
3/26 Point Cook Road ,ALTONA MEADOWS VIC 3028,ALTONA MEADOWS,VIC,3028,Townhouse,20-May-22,private treaty,521000,2,2,1,0,UNKNOWN,-37.8740281,144.7588993,19.1352644
15B The Avenue ,WINDSOR VIC 3181,WINDSOR,VIC,3181,Townhouse,19-Nov-20,auction,1100000,2,1,1,0, Gary Peer,-37.8553825,144.9979784,5.506390518
2/66 Sandford Avenue ,SUNSHINE NORTH VIC 3020,SUNSHINE NORTH,VIC,3020,Apartment ,22-Jul-22,auction,600000,3,2,2,0,Douglas Kay Estate Agents,-37.7661221,144.825843,13.2026888
10/33 Carmichael Street ,IVANHOE EAST VIC 3079,IVANHOE EAST,VIC,3079,Apartment ,11-Jun-22,auction,610000,2,1,1,0,Miles Real Estate Ivanhoe,-37.7709087,145.0581005,9.635582432
1 Herbert Street ,AVONDALE HEIGHTS VIC 3034,AVONDALE HEIGHTS,VIC,3034,New apartments / off the plan,30-Jan-20,private treaty,1055000,4,2,2,0,UNKNOWN,-37.767644,144.8575303,10.63227269
312/20 Convention Centre Place ,SOUTHBANK VIC 3006,SOUTHBANK,VIC,3006,Townhouse,17-Dec-19,private treaty,1050000,2,2,2,0,Lucas Real Estate,-37.8253618,144.9640203,1.241865896
3/11 Hotham Road ,NIDDRIE VIC 3042,NIDDRIE,VIC,3042,Villa,14-May-22,auction,595000,2,1,1,0,Nelson Alexander Essendon,-37.7348743,144.8802737,11.44518348
8 Crombie Lane ,POINT COOK VIC 3030,POINT COOK,VIC,3030,Townhouse,6-May-22,auction,551000,3,2,1,0,UNKNOWN,-37.9093506,144.7593905,20.78871609
3/33 Carrington Street ,SYDENHAM VIC 3037,SYDENHAM,VIC,3037,Villa,28-May-22,auction,554500,3,2,2,0,OBrien Real Estate Sydenham,-37.6937512,144.760933,22.26741979
1/32 Matlock Street ,HERNE HILL VIC 3218,HERNE HILL,VIC,3218,Villa,24-Apr-22,auction,560000,3,1,1,0,Compton Green Geelong,-38.1309975,144.3220143,66.34698866
3/95 Marshall Road ,AIRPORT WEST VIC 3042,AIRPORT WEST,VIC,3042,Villa,21-Apr-22,private treaty,595000,2,1,1,0,UNKNOWN,-37.716714,144.8811288,13.02493721
2A Cooper Court ,DELAHEY VIC 3037,DELAHEY,VIC,3037,Villa,28-Apr-22,private treaty,570000,3,1,2,0,Barry Plant Taylors Lakes,-37.7140458,144.7778361,19.74085723
1/173 Balcombe Road ,MENTONE VIC 3194,MENTONE,VIC,3194,Studio,29-Mar-21,private treaty,250000,0,1,1,0,UNKNOWN,-37.9819277,145.0701086,20.88304019
4/108 Cooper Street ,ESSENDON VIC 3040,ESSENDON,VIC,3040,Villa,2-Apr-22,auction,837500,3,2,2,0,Brad Teal Woodards Essendon,-37.7462555,144.8981173,9.478484446
1 & 2/3 Rogers Street ,DANDENONG VIC 3175,DANDENONG,VIC,3175,Block of units,12-Apr-22,auction,835000,4,2,2,0,Hall & Partners First National Dandenong,-37.9732438,145.2095088,27.93682332
